,name,ratings,party,year
36,Lyndon B. Johnson,"[0.36530813574790955, 0.6383200287818909, 0.6754430532455444, 0.8005485534667969, 0.6176876425743103, 0.7606377005577087, 0.5493887662887573, 0.8103815317153931, 0.7620695233345032, 0.7175527215003967, 0.45961591601371765, 0.7620285749435425, 0.6356056928634644, 0.565808117389679, 0.3375702202320099, 0.4681829512119293, 0.38403990864753723, 0.4666745662689209, 0.4397117495536804, 0.7678614258766174, 0.6493408679962158, 0.18129083514213562, 0.7439359426498413, 0.4443337619304657, 0.3870285153388977, 0.2539564371109009, 0.8528909683227539, 0.6973193883895874, 0.5759592652320862, 0.5684683918952942, 0.7881953716278076, 0.5076817870140076, 0.7748993635177612, 0.617036759853363, 0.8173192739486694, 0.6706588864326477, 0.4483720660209656, 0.8313237428665161, 0.4997689723968506, 0.8452257513999939, 0.7858635783195496, 0.6874393224716187, 0.5922459959983826, 0.6179845929145813, 0.7850605249404907, 0.28032389283180237, 0.869133472442627, 0.45138856768608093, 0.5312438607215881, 0.737196683883667, 0.683459997177124, 0.6622800230979919, 0.6509406566619873, 0.5593101978302002, 0.7426040172576904, 0.5750510692596436, 0.25736334919929504, 0.5555691719055176, 0.3261397182941437, 0.35829755663871765, 0.5578505396842957, 0.8317752480506897, 0.6736730933189392, 0.7463136911392212, 0.24278707802295685, 0.4533809721469879, 0.4688490629196167, 0.8068809509277344, 0.6462423205375671, 0.1342894583940506, 0.7552275061607361, 0.6998322606086731, 0.492715060710907, 0.6649677157402039, 0.5008208155632019, 0.6504736542701721, 0.6959663033485413, 0.8478282690048218, 0.5390780568122864, 0.862423837184906, 0.5527019500732422, 0.6455144882202148, 0.2719140946865082, 0.27109867334365845, 0.6592993140220642, 0.8293827176094055, 0.6906155943870544, 0.8363186717033386, 0.3925739824771881, 0.647163987159729, 0.8834248185157776, 0.4891495108604431, 0.42654240131378174, 0.6262466907501221, 0.6514290571212769, 0.799811601638794, 0.6545498967170715, 0.563233494758606, 0.5585657954216003, 0.46798160672187805]",D,1963
35,John F. Kennedy,"[0.838259756565094, 0.6488003134727478, 0.6635157465934753, 0.7489272952079773, 0.805270254611969, 0.7273187041282654, 0.701177716255188, 0.9086155891418457, 0.5811658501625061, 0.723293662071228, 0.8718081712722778, 0.6544374227523804, 0.8128867745399475, 0.6461637020111084, 0.8812161684036255, 0.8332775235176086, 0.8351835608482361, 0.6155592203140259, 0.8324500322341919, 0.8753976225852966, 0.8319854140281677, 0.7842324376106262, 0.48660269379615784, 0.873920202255249, 0.746529221534729, 0.8165377378463745, 0.8454910516738892, 0.8984450697898865, 0.800853967666626, 0.9104965925216675, 0.7419915199279785, 0.8660411834716797, 0.5822351574897766, 0.7580055594444275, 0.785854160785675, 0.46221765875816345, 0.6985287666320801, 0.8028957843780518, 0.7136170268058777, 0.8521033525466919, 0.7625148296356201, 0.7889581918716431, 0.826263964176178, 0.937268853187561, 0.8137173652648926, 0.6324707269668579, 0.7062317132949829, 0.8785912990570068, 0.8375150561332703, 0.7799946069717407, 0.9027138948440552, 0.6929856538772583, 0.5790371298789978, 0.8862492442131042, 0.8238523602485657, 0.8263736367225647, 0.7853468656539917, 0.821995198726654, 0.867697536945343, 0.8704412579536438, 0.8290749192237854, 0.7860061526298523, 0.822746217250824, 0.71580970287323, 0.8543946146965027, 0.7666255235671997, 0.9060530662536621, 0.7912856936454773, 0.8126884698867798, 0.6426900625228882, 0.7235116958618164, 0.9122359752655029, 0.5951296091079712, 0.6780121922492981, 0.7290027737617493, 0.4610419273376465, 0.7066289782524109, 0.37203919887542725, 0.7652668952941895, 0.7316836714744568, 0.9201406836509705, 0.8776837587356567, 0.7258297801017761, 0.8132538795471191, 0.8859860301017761, 0.790302574634552, 0.6282675266265869, 0.8060532808303833, 0.7251388430595398, 0.7355939745903015, 0.5192628502845764, 0.5343977808952332, 0.7643526792526245, 0.8540783524513245, 0.8658342957496643, 0.7887164950370789, 0.46806856989860535, 0.7823828458786011, 0.8956868648529053, 0.7792351841926575]",D,1961
34,Dwight D. Eisenhower,"[0.9133797287940979, 0.873396635055542, 0.9325700998306274, 0.8933357000350952, 0.8934247493743896, 0.7984451055526733, 0.8921338319778442, 0.7840213775634766, 0.8601061105728149, 0.8637255430221558, 0.802152693271637, 0.7712092399597168, 0.8300454616546631, 0.8586333394050598, 0.8080770373344421, 0.7630445957183838, 0.9352595806121826, 0.87276691198349, 0.9007474780082703, 0.9227479100227356, 0.8221797347068787, 0.9083056449890137, 0.8624716401100159, 0.921906590461731, 0.7817065119743347, 0.8500789403915405, 0.8684603571891785, 0.9250187277793884, 0.9095609784126282, 0.8423353433609009, 0.7673300504684448, 0.8351709246635437, 0.865515410900116, 0.7896988987922668, 0.927253246307373, 0.907400369644165, 0.8779542446136475, 0.8492605090141296, 0.8228433132171631, 0.9196594953536987, 0.9021554589271545, 0.8661496043205261, 0.8768033385276794, 0.8853018879890442, 0.9319826364517212, 0.743751049041748, 0.8372882604598999, 0.8271616697311401, 0.8876892328262329, 0.8941034078598022, 0.9063241481781006, 0.8972673416137695, 0.9077143669128418, 0.8767806887626648, 0.8751879930496216, 0.9187402129173279, 0.8265204429626465, 0.8631289005279541, 0.8728810548782349, 0.8108149766921997, 0.8590656518936157, 0.8876649737358093, 0.8151707053184509, 0.8925600647926331, 0.8520438075065613, 0.9110866189002991, 0.9141369462013245, 0.7893863320350647, 0.8153597116470337, 0.9181691408157349, 0.7499496340751648, 0.9243711233139038, 0.8544660806655884, 0.866509199142456, 0.9152060747146606, 0.8560789227485657, 0.890048086643219, 0.894570529460907, 0.8823840618133545, 0.8601973652839661, 0.7491505742073059, 0.86882084608078, 0.9095579385757446, 0.846703052520752, 0.9210773706436157, 0.9247184991836548, 0.8869677186012268, 0.9367774724960327, 0.9043741822242737, 0.8430138230323792, 0.9324776530265808, 0.8152343034744263, 0.7824481725692749, 0.8395041823387146, 0.9500049948692322, 0.9307536482810974, 0.8817275762557983, 0.8846578598022461, 0.6317881941795349, 0.7854083180427551]",R,1953
33,Harry S. Truman,"[0.818505048751831, 0.740737795829773, 0.7347975969314575, 0.7033803462982178, 0.675605058670044, 0.8243774771690369, 0.7737604379653931, 0.8703173995018005, 0.7721788287162781, 0.6325958371162415, 0.8039056658744812, 0.927617073059082, 0.7785056233406067, 0.45138415694236755, 0.6933842301368713, 0.8087418675422668, 0.5788262486457825, 0.7235857844352722, 0.8369730114936829, 0.8528398871421814, 0.6546127200126648, 0.7195509672164917, 0.8167405128479004, 0.6508083343505859, 0.8309939503669739, 0.6097763776779175, 0.7601112723350525, 0.7884134650230408, 0.7778493165969849, 0.7302768230438232, 0.73329758644104, 0.8478689193725586, 0.8822795152664185, 0.779979944229126, 0.8697721362113953, 0.6602020859718323, 0.7304484844207764, 0.8318324089050293, 0.811843752861023, 0.8874123692512512, 0.7892568707466125, 0.8165966868400574, 0.784356951713562, 0.8189643025398254, 0.8086159825325012, 0.8839808702468872, 0.701339066028595, 0.7286664247512817, 0.8629148006439209, 0.7744091153144836, 0.9073440432548523, 0.8975307941436768, 0.6201767921447754, 0.8446928858757019, 0.8089525103569031, 0.682425320148468, 0.8834211826324463, 0.7493194937705994, 0.7064833045005798, 0.9290820956230164, 0.6394215226173401, 0.8642805814743042, 0.8572732210159302, 0.7695351243019104, 0.8332503437995911, 0.9134268760681152, 0.7768923044204712, 0.7839716672897339, 0.8567793965339661, 0.7273403406143188, 0.8233960866928101, 0.6526317000389099, 0.8411974906921387, 0.8967153429985046, 0.7591524720191956, 0.7967327833175659, 0.79049152135849, 0.798933207988739, 0.6694837808609009, 0.6077316403388977, 0.8790988922119141, 0.7984270453453064, 0.9175360202789307, 0.8099197149276733, 0.5002145767211914, 0.8221652507781982, 0.7654299139976501, 0.8695204257965088, 0.7868591547012329, 0.9302423000335693, 0.8410177826881409, 0.7445239424705505, 0.7466817498207092, 0.4023388624191284, 0.7369545698165894, 0.7468274831771851, 0.6074814200401306, 0.8098878860473633, 0.6394520998001099, 0.7033166289329529]",D,1945
32,Franklin D. Roosevelt,"[0.7983638048171997, 0.8480949401855469, 0.8821017742156982, 0.8874505162239075, 0.7188982963562012, 0.6863412261009216, 0.6196568012237549, 0.9072626829147339, 0.8902340531349182, 0.5439780354499817, 0.8544139266014099, 0.6674557328224182, 0.7692533731460571, 0.6503880620002747, 0.8599893450737, 0.8241840600967407, 0.9001681804656982, 0.8520578145980835, 0.6962669491767883, 0.8114637732505798, 0.8020155429840088, 0.8584185838699341, 0.8626940846443176, 0.8670923709869385, 0.8856311440467834, 0.7926953434944153, 0.8541425466537476, 0.7545344829559326, 0.8582817316055298, 0.7959021329879761, 0.8110646605491638, 0.7788761258125305, 0.7606968283653259, 0.9107999801635742, 0.8563847541809082, 0.8377372026443481, 0.8627263903617859, 0.8132331371307373, 0.9093409180641174, 0.8701597452163696, 0.7049724459648132, 0.7451745271682739, 0.8338502645492554, 0.7369168996810913, 0.8598670363426208, 0.6618053913116455, 0.6948972940444946, 0.9165927171707153, 0.6232839822769165, 0.9278876185417175, 0.579255998134613, 0.9286081790924072, 0.8722535371780396, 0.9050955772399902, 0.7677838206291199, 0.7959116697311401, 0.6990511417388916, 0.76332026720047, 0.8790364861488342, 0.7384368181228638, 0.7414357662200928, 0.8949313163757324, 0.7914450764656067, 0.8050453662872314, 0.7024186253547668, 0.8286341428756714, 0.7036292552947998, 0.8945892453193665, 0.7316218614578247, 0.8558355569839478, 0.7762249708175659, 0.9017730951309204, 0.5680779814720154, 0.779121994972229, 0.793734073638916, 0.7900034785270691, 0.7232163548469543, 0.8847246766090393, 0.7938752770423889, 0.850724995136261, 0.9373089075088501, 0.8731476664543152, 0.8834631443023682, 0.8678498268127441, 0.7926709651947021, 0.8198902010917664, 0.8877198100090027, 0.822556734085083, 0.837540864944458, 0.7860847115516663, 0.6958626508712769, 0.8534024953842163, 0.7706481218338013, 0.9113097190856934, 0.870165228843689, 0.7891939878463745, 0.8608766198158264, 0.8631778955459595, 0.876491367816925, 0.7762808203697205]",D,1933
31,Herbert Hoover,"[0.30003488063812256, 0.031125161796808243, 0.32528525590896606, 0.23976005613803864, 0.40259039402008057, 0.14770615100860596, 0.6482294797897339, 0.5351583957672119, 0.22558698058128357, 0.4380585849285126, 0.2893107235431671, 0.09008432924747467, 0.6151091456413269, 0.3903179466724396, 0.289936900138855, 0.32632240653038025, 0.18178912997245789, 0.06332481652498245, 0.3371664583683014, 0.5215948224067688, 0.11693772673606873, 0.10976602137088776, 0.5163789391517639, 0.5363303422927856, 0.2883422374725342, 0.38335704803466797, 0.26896509528160095, 0.6587333679199219, 0.33000877499580383, 0.23453855514526367, 0.6301271915435791, 0.6110491752624512, 0.11491723358631134, 0.1441659927368164, 0.27986013889312744, 0.41793641448020935, 0.315425306558609, 0.4737093448638916, 0.1013370156288147, 0.2574818432331085, 0.23581457138061523, 0.3067978322505951, 0.5368223786354065, 0.4487208425998688, 0.10178390145301819, 0.5027176141738892, 0.5362343788146973, 0.017552904784679413, 0.45953190326690674, 0.13443349301815033, 0.283100962638855, 0.5225263833999634, 0.5971803665161133, 0.41734400391578674, 0.4016883373260498, 0.6695857048034668, 0.38622409105300903, 0.48830175399780273, 0.4870293438434601, 0.5890998840332031, 0.6333905458450317, 0.5370005965232849, 0.5054925680160522, 0.08783969283103943, 0.3472677767276764, 0.5725257992744446, 0.3034104108810425, 0.7518212795257568, 0.3395440876483917, 0.2817341387271881, 0.4110375940799713, 0.11429501324892044, 0.36842411756515503, 0.5681257843971252, 0.3208434283733368, 0.6200670599937439, 0.34807032346725464, 0.38516128063201904, 0.5120280981063843, 0.4545062482357025, 0.19165879487991333, 0.56891268491745, 0.4284850060939789, 0.27857106924057007, 0.2739883363246918, 0.14463241398334503, 0.40846943855285645, 0.2836896777153015, 0.4730605185031891, 0.6589663028717041, 0.0605350099503994, 0.4679327607154846, 0.23833905160427094, 0.16349418461322784, 0.5239694118499756, 0.18314141035079956, 0.19631214439868927, 0.3395002484321594, 0.3487386405467987, 0.30594947934150696]",R,1929
30,Calvin Coolidge,"[0.7868962287902832, 0.7000190019607544, 0.7323089241981506, 0.8324549198150635, 0.5152704119682312, 0.6786229014396667, 0.6460180878639221, 0.7911953926086426, 0.544266939163208, 0.47788262367248535, 0.7995150685310364, 0.6163341403007507, 0.8094749450683594, 0.5106790065765381, 0.7107987403869629, 0.5436847805976868, 0.4553624987602234, 0.7244171500205994, 0.7346330285072327, 0.5411640405654907, 0.5910264253616333, 0.7266684174537659, 0.5784152150154114, 0.6385130882263184, 0.4752865433692932, 0.5567975044250488, 0.7511485815048218, 0.7652719020843506, 0.6780411005020142, 0.6312500238418579, 0.8533176183700562, 0.7647967338562012, 0.7203390598297119, 0.6961918473243713, 0.7645566463470459, 0.7577523589134216, 0.7404376864433289, 0.610852062702179, 0.4438120126724243, 0.6294402480125427, 0.6886072754859924, 0.7857560515403748, 0.7681974172592163, 0.7182193994522095, 0.7071490287780762, 0.7803575992584229, 0.627345860004425, 0.6104294657707214, 0.5035560131072998, 0.7892948389053345, 0.5337411165237427, 0.7581368088722229, 0.7209478616714478, 0.6757740378379822, 0.4906957149505615, 0.4227144122123718, 0.8429669141769409, 0.592164158821106, 0.6802951693534851, 0.45699062943458557, 0.7225888967514038, 0.7122583389282227, 0.586213231086731, 0.38549309968948364, 0.7259272933006287, 0.7889739871025085, 0.690930962562561, 0.5196894407272339, 0.5415823459625244, 0.6208773255348206, 0.6036162376403809, 0.6640189290046692, 0.5250269770622253, 0.547375500202179, 0.7556407451629639, 0.6868018507957458, 0.3894365727901459, 0.3674243092536926, 0.7242711186408997, 0.745924711227417, 0.7546588778495789, 0.562591552734375, 0.5686678886413574, 0.5151094198226929, 0.6543936729431152, 0.7888699769973755, 0.7880303263664246, 0.7533597946166992, 0.5292547941207886, 0.24719475209712982, 0.6697528958320618, 0.5545209646224976, 0.5645748376846313, 0.7366982698440552, 0.6295488476753235, 0.8021801710128784, 0.6756453514099121, 0.4527256488800049, 0.3933427333831787, 0.40993067622184753]",R,1923
29,Warren G. Harding,"[0.3421825170516968, 0.2605630159378052, 0.5051501989364624, 0.46994972229003906, 0.19940905272960663, 0.04626050963997841, 0.3766946792602539, 0.24405893683433533, 0.8200433254241943, 0.2080191671848297, 0.29087287187576294, 0.07514392584562302, 0.538705587387085, 0.08312281221151352, 0.5241279006004333, 0.11500053107738495, 0.607015073299408, 0.1161603257060051, 0.25614476203918457, 0.28924235701560974, 0.46526625752449036, 0.4795900881290436, 0.7366376519203186, 0.17761333286762238, 0.4393775165081024, 0.5812740325927734, 0.28181126713752747, 0.3958156108856201, 0.3379594087600708, 0.10037259757518768, 0.06430758535861969, 0.5800307393074036, 0.16245627403259277, 0.32345709204673767, 0.42060208320617676, 0.3242858648300171, 0.38581305742263794, 0.3749478757381439, 0.035030655562877655, 0.30626171827316284, 0.1328415721654892, 0.21609950065612793, 0.1530146598815918, 0.7451170086860657, 0.36426982283592224, 0.1668262630701065, 0.02574349194765091, 0.03027130477130413, 0.08387745171785355, 0.24812324345111847, 0.29875993728637695, 0.34927868843078613, 0.19712626934051514, 0.8170621395111084, 0.2303115576505661, 0.3694222867488861, 0.254472941160202, 0.14190277457237244, 0.23439492285251617, 0.23992279171943665, 0.5738956332206726, 0.27425792813301086, 0.4021495580673218, 0.010420938022434711, 0.09642492979764938, 0.06993839144706726, 0.6467086672782898, 0.6467522382736206, 0.08027283102273941, 0.3779440224170685, 0.5166053771972656, 0.08956268429756165, 0.13826848566532135, 0.24717453122138977, 0.07693082094192505, 0.29200655221939087, 0.13474519550800323, 0.535590410232544, 0.11926502734422684, 0.6538949608802795, 0.26941028237342834, 0.49047765135765076, 0.08441517502069473, 0.12532582879066467, 0.44283512234687805, 0.14048472046852112, 0.4668610394001007, 0.37920933961868286, 0.6474520564079285, 0.31598344445228577, 0.0643123909831047, 0.10351277142763138, 0.25351282954216003, 0.6832700371742249, 0.12545189261436462, 0.4396519958972931, 0.20800559222698212, 0.39234766364097595, 0.599511981010437, 0.6176517009735107]",R,1921
28,Woodrow Wilson,"[0.5892209410667419, 0.8499521613121033, 0.8105054497718811, 0.6539148688316345, 0.7190539240837097, 0.8364511728286743, 0.8242506384849548, 0.7693093419075012, 0.7940587401390076, 0.7615543007850647, 0.1679372638463974, 0.6783303618431091, 0.5273045897483826, 0.665622353553772, 0.24524980783462524, 0.658316969871521, 0.8966555595397949, 0.8237971663475037, 0.49660030007362366, 0.6553176045417786, 0.815204918384552, 0.7681193947792053, 0.644012451171875, 0.8560696840286255, 0.6989797353744507, 0.7827097773551941, 0.9138879179954529, 0.31272950768470764, 0.8436331748962402, 0.5852027535438538, 0.8714081645011902, 0.7698128819465637, 0.8649569749832153, 0.6910907626152039, 0.8445438146591187, 0.697989284992218, 0.8894116878509521, 0.7196916341781616, 0.7120393514633179, 0.8460163474082947, 0.6955125331878662, 0.8267228603363037, 0.6257233023643494, 0.8611494898796082, 0.8211713433265686, 0.8400020003318787, 0.7172777652740479, 0.49364766478538513, 0.7975623607635498, 0.7749702334403992, 0.3594764173030853, 0.6894021034240723, 0.7396584749221802, 0.6628997325897217, 0.5813391208648682, 0.5880357623100281, 0.8018438220024109, 0.7606422901153564, 0.8245593905448914, 0.3368382155895233, 0.3672710657119751, 0.819178581237793, 0.7969045639038086, 0.8715355396270752, 0.7598404288291931, 0.7313341498374939, 0.35971418023109436, 0.8352225422859192, 0.7603498101234436, 0.6547552943229675, 0.71651291847229, 0.6468320488929749, 0.4825325310230255, 0.41442081332206726, 0.7363318204879761, 0.6143714189529419, 0.6350077390670776, 0.5473096370697021, 0.7772840261459351, 0.6286126971244812, 0.8102407455444336, 0.8545860648155212, 0.8164240717887878, 0.6956013441085815, 0.7326967120170593, 0.8450818657875061, 0.19472374022006989, 0.8996649980545044, 0.7930676937103271, 0.8643074631690979, 0.8797414302825928, 0.8987185955047607, 0.8150851130485535, 0.7764150500297546, 0.8370918035507202, 0.8164739608764648, 0.8325570225715637, 0.6487274169921875, 0.4596451222896576, 0.6338329315185547]",D,1913
27,William Howard Taft,"[0.5371015071868896, 0.45879054069519043, 0.8058678507804871, 0.7173564434051514, 0.28205594420433044, 0.5361731052398682, 0.6470286846160889, 0.7769792675971985, 0.8162620067596436, 0.5473186373710632, 0.5402681231498718, 0.7956838607788086, 0.5813130140304565, 0.6063320636749268, 0.8021159768104553, 0.04584309458732605, 0.668871283531189, 0.7075570225715637, 0.7062522172927856, 0.15512922406196594, 0.13140174746513367, 0.7558807134628296, 0.375299334526062, 0.8171154260635376, 0.8371568322181702, 0.669187605381012, 0.4453294277191162, 0.5216915607452393, 0.5101655125617981, 0.2467915266752243, 0.5322240591049194, 0.504476010799408, 0.5342460870742798, 0.44251948595046997, 0.48712629079818726, 0.8086010813713074, 0.7885075211524963, 0.759107232093811, 0.8204396963119507, 0.6874352097511292, 0.39800113439559937, 0.7136058211326599, 0.44016212224960327, 0.6468736529350281, 0.7201650142669678, 0.3218249976634979, 0.5712418556213379, 0.7411165237426758, 0.42474740743637085, 0.6547101140022278, 0.2899203598499298, 0.5292381048202515, 0.5422880053520203, 0.46715787053108215, 0.8710069060325623, 0.5936152935028076, 0.8647964000701904, 0.22961486876010895, 0.4115105867385864, 0.37607628107070923, 0.6029852032661438, 0.8922589421272278, 0.8665570020675659, 0.4037782847881317, 0.613544762134552, 0.5665212869644165, 0.7713149785995483, 0.8960583806037903, 0.813231885433197, 0.6088961958885193, 0.8891503214836121, 0.729022204875946, 0.6261195540428162, 0.6007677912712097, 0.586942195892334, 0.8040185570716858, 0.5966967940330505, 0.7419034838676453, 0.476943701505661, 0.2758311927318573, 0.49452245235443115, 0.36928337812423706, 0.638344407081604, 0.3336520195007324, 0.609186053276062, 0.5945512056350708, 0.3255802392959595, 0.9096944332122803, 0.5442276000976562, 0.5732835531234741, 0.2506622076034546, 0.540858268737793, 0.2925274074077606, 0.5447127819061279, 0.6784881949424744, 0.6642733812332153, 0.8645967245101929, 0.8455291390419006, 0.7856200933456421, 0.5552026629447937]",R,1909
26,Theodore Roosevelt,"[0.6679591536521912, 0.8830755949020386, 0.8702322244644165, 0.6152804493904114, 0.8903712034225464, 0.5995912551879883, 0.8068715929985046, 0.8712711930274963, 0.6767900586128235, 0.8385496735572815, 0.8313590288162231, 0.7191160917282104, 0.7911733984947205, 0.800266683101654, 0.9391985535621643, 0.7459671497344971, 0.8355425000190735, 0.8181002140045166, 0.7604129314422607, 0.5507084131240845, 0.8838170170783997, 0.7327348589897156, 0.86814945936203, 0.8302518129348755, 0.8861043453216553, 0.5897515416145325, 0.7121204733848572, 0.6700899600982666, 0.8368752002716064, 0.5697963237762451, 0.7694869637489319, 0.8741527795791626, 0.9055318236351013, 0.8340795040130615, 0.7296059727668762, 0.8838778734207153, 0.9096952080726624, 0.8135983347892761, 0.7674732804298401, 0.710543692111969, 0.7763006687164307, 0.8924723267555237, 0.6796343922615051, 0.7055569291114807, 0.7192329168319702, 0.8911443948745728, 0.7117859125137329, 0.8200706839561462, 0.6346869468688965, 0.7208543419837952, 0.8871044516563416, 0.8923851847648621, 0.7115796804428101, 0.7945296168327332, 0.7653656601905823, 0.7833483219146729, 0.6373468637466431, 0.8981226086616516, 0.5592684149742126, 0.792020857334137, 0.817408561706543, 0.7030504941940308, 0.8565422296524048, 0.7806398272514343, 0.8170519471168518, 0.652472198009491, 0.8060035109519958, 0.8294137120246887, 0.8926516175270081, 0.692881166934967, 0.8229510188102722, 0.6901640892028809, 0.8129670023918152, 0.771945059299469, 0.8365938663482666, 0.8529114127159119, 0.744071364402771, 0.8496339321136475, 0.6806350350379944, 0.790194034576416, 0.7345337867736816, 0.8545206785202026, 0.8205955028533936, 0.7269675135612488, 0.6492499113082886, 0.886347770690918, 0.8494025468826294, 0.7563005089759827, 0.8393169045448303, 0.9158350825309753, 0.8503061532974243, 0.7418943047523499, 0.7071009278297424, 0.8896714448928833, 0.7885838747024536, 0.9163625240325928, 0.8079847097396851, 0.8610005974769592, 0.7714638710021973, 0.7613422274589539]",R,1901
25,William McKinley,"[0.8320842385292053, 0.5775033235549927, 0.7449559569358826, 0.78044593334198, 0.6182236075401306, 0.534907341003418, 0.847152054309845, 0.8292628526687622, 0.74754399061203, 0.5014646649360657, 0.7423309087753296, 0.9540345072746277, 0.7784252762794495, 0.8916640877723694, 0.8524647951126099, 0.8850584626197815, 0.8340061902999878, 0.5654535293579102, 0.6379232406616211, 0.7770217061042786, 0.6063479781150818, 0.4757360517978668, 0.8559479117393494, 0.33298712968826294, 0.6806293725967407, 0.63504558801651, 0.9034785628318787, 0.7592542171478271, 0.5668834447860718, 0.7628649473190308, 0.6300675868988037, 0.7925530076026917, 0.9383511543273926, 0.8058176040649414, 0.751928985118866, 0.6431386470794678, 0.5422247052192688, 0.7246871590614319, 0.7359208464622498, 0.6715625524520874, 0.841256856918335, 0.8796020150184631, 0.6727914810180664, 0.8107961416244507, 0.7545838356018066, 0.7025066614151001, 0.8078282475471497, 0.44096335768699646, 0.7199302911758423, 0.7292640805244446, 0.4930548369884491, 0.6210929155349731, 0.5581820607185364, 0.6501489281654358, 0.7606770396232605, 0.7550716996192932, 0.49000126123428345, 0.8461499810218811, 0.7679435014724731, 0.9362009763717651, 0.5690476894378662, 0.9267259240150452, 0.6307784914970398, 0.8902477025985718, 0.7042620182037354, 0.6378297209739685, 0.9239482283592224, 0.7903772592544556, 0.7565631866455078, 0.8636624217033386, 0.4837368130683899, 0.6576521992683411, 0.3816322684288025, 0.8130656480789185, 0.5254774689674377, 0.8952354788780212, 0.6700383424758911, 0.7755429148674011, 0.5496522784233093, 0.5755998492240906, 0.6304061412811279, 0.499580442905426, 0.7546856999397278, 0.30891966819763184, 0.3796374499797821, 0.9485624432563782, 0.43367335200309753, 0.6460371613502502, 0.24436785280704498, 0.6126050353050232, 0.7233090996742249, 0.3163968622684479, 0.7719210386276245, 0.3821977972984314, 0.8813527822494507, 0.5713793635368347, 0.4518343508243561, 0.5534687638282776, 0.877035915851593, 0.46746712923049927]",R,1897
24,Grover Cleveland,"[0.7404135465621948, 0.6351338624954224, 0.7774734497070312, 0.7240436673164368, 0.8766986131668091, 0.7358789443969727, 0.7394077777862549, 0.5558781623840332, 0.7544323801994324, 0.5383245348930359, 0.7605370879173279, 0.8268897533416748, 0.4573778510093689, 0.8607397079467773, 0.7672474384307861, 0.8129210472106934, 0.8167411684989929, 0.851042628288269, 0.8458957672119141, 0.765973687171936, 0.7725264430046082, 0.8017212152481079, 0.6255139112472534, 0.5466957092285156, 0.7070212960243225, 0.877920925617218, 0.7706742882728577, 0.7663071751594543, 0.8559163808822632, 0.7296252250671387, 0.8061705231666565, 0.8687408566474915, 0.7376616597175598, 0.7899551391601562, 0.6919243335723877, 0.8292897343635559, 0.8919858932495117, 0.9236173629760742, 0.5646965503692627, 0.8235180974006653, 0.7097781300544739, 0.804237425327301, 0.9198561310768127, 0.8003776669502258, 0.9042406678199768, 0.8790978789329529, 0.8669508695602417, 0.9041395783424377, 0.6129618287086487, 0.6475023627281189, 0.7171048521995544, 0.8673736453056335, 0.8404860496520996, 0.7144128084182739, 0.8886823058128357, 0.9040354490280151, 0.8524534106254578, 0.7596510052680969, 0.9056667685508728, 0.7449341416358948, 0.7923337817192078, 0.8087133169174194, 0.7143017053604126, 0.7793063521385193, 0.7638705372810364, 0.8434241414070129, 0.6539415717124939, 0.767612874507904, 0.7957109808921814, 0.7161507606506348, 0.7496567964553833, 0.658123254776001, 0.7267348766326904, 0.6859607100486755, 0.5687435865402222, 0.7204129099845886, 0.8257639408111572, 0.43836265802383423, 0.5130244493484497, 0.6913202404975891, 0.9033638834953308, 0.8474161624908447, 0.8825505971908569, 0.8841894865036011, 0.8644261360168457, 0.9286080598831177, 0.8977081775665283, 0.8392243385314941, 0.5448817610740662, 0.6537855267524719, 0.648141086101532, 0.7426549792289734, 0.6123222708702087, 0.7903485894203186, 0.822393536567688, 0.8958515524864197, 0.6790972352027893, 0.47229355573654175, 0.9009827375411987, 0.6835691928863525]",D,1893
